library,Stage_Version,Stage_Containter,Prod_Version,Prod_Containter,matches
mkl,2017.0.1,0,2017.0.1,0,yes
mkl-service,1.1.2,py27_3,1.1.2,py27_3,yes
mock,2.0.0,<pip>,2.0.0,<pip>,yes
mock,2.0.0,<pip>,2.0.0,py27_0,yes
moto,1.0.1,<pip>,1.0.1,<pip>,yes
mpmath,0.19,py27_1,0.19,py27_1,yes
mpmath,0.19,py27_1,0.19,py27_2,yes
multipledispatch,0.4.9,py27_0,0.4.9,py27_0,yes
mysqlclient,1.3.10,<pip>,1.3.10,<pip>,yes
nb_anacondacloud,1.2.0,py27_0,1.2.0,py27_0,yes
nb_conda,2.0.0,py27_0,2.0.0,py27_0,yes
nb_conda_kernels,2.0.0,py27_0,2.0.0,py27_0,yes
nbconvert,4.2.0,py27_0,4.2.0,py27_0,yes
nbconvert,4.2.0,py27_0,5.1.1,<pip>,no
nbconvert,4.2.0,py27_0,5.1.1,py27_1,no
nbformat,4.2.0,py27_0,4.2.0,<pip>,yes
nbformat,4.2.0,py27_0,4.2.0,py27_0,yes
nbformat,4.2.0,py27_0,4.3.0,<pip>,no
nbpresent,3.0.2,py27_0,3.0.2,py27_0,yes
networkx,1.11,py27_0,1.11,py27_0,yes
nltk,3.2.2,py27_0,3.2.2,py27_0,yes
nltk,3.2.2,py27_0,3.2.3,<pip>,no
nose,1.3.7,py27_1,1.3.7,py27_1,yes
nose,1.3.7,py27_1,1.3.7,py27_2,yes
nose-ignore-docstring,0.2,<pip>,0.2,<pip>,yes
nose-parameterized,0.6.0,<pip>,0.6.0,<pip>,yes
notebook,5.0.0,py27_0,5.0.0,<pip>,yes
notebook,5.0.0,py27_0,5.0.0,py27_0,yes
numba,0.34.0,np112py27_0,0.26.0,np19py27_0,no
numba,0.34.0,np112py27_0,0.30.1,np111py27_0,no
numba,0.34.0,np112py27_0,0.34.0+0.gc1fdcbe64.dirty,<pip>,no
numexpr,2.6.2,np112py27_0,2.4.4,np19py27_0,no
numexpr,2.6.2,np112py27_0,2.6.1,np111py27_2,no
numexpr,2.6.2,np112py27_0,2.6.2,<pip>,yes
numpy,1.12.1,py27_0,1.11.3,py27_0,no
numpy,1.12.1,py27_0,1.13.1,<pip>,no
numpy,1.12.1,py27_0,1.8.0,<pip>,no
numpy,1.12.1,py27_0,1.9.0,py27_0,no
numpy,1.13.1,<pip>,1.11.3,py27_0,no
numpy,1.13.1,<pip>,1.13.1,<pip>,yes
numpy,1.13.1,<pip>,1.8.0,<pip>,no
numpy,1.13.1,<pip>,1.9.0,py27_0,no
numpydoc,0.6.0,py27_0,0.6.0,py27_0,yes
oauthlib,2.0.2,<pip>,2.0.2,<pip>,yes
odo,0.5.0,py27_1,0.5.0,py27_1,yes
openpyxl,2.4.1,py27_0,2.4.1,py27_0,yes
openpyxl,2.4.1,py27_0,2.4.5,py27_1,no
openpyxl,2.4.1,py27_0,2.4.7,<pip>,no
openssl,1.0.2k,1,1.0.2k,0,yes
openssl,1.0.2k,1,1.0.2k,1,yes
oracle-instantclient,11.2.0.4.0,0,11.2.0.4.0,0,yes
ordereddict,1.1,<pip>,1.1,<pip>,yes
pandas,0.19.2,<pip>,0.17.1,np19py27_0,no
pandas,0.19.2,<pip>,0.19.2,<pip>,yes
pandas,0.19.2,<pip>,0.19.2,np111py27_1,yes
pandas,0.19.2,<pip>,0.20.2,<pip>,no
pandas,0.19.2,<pip>,0.20.3,<pip>,no
pandas,0.20.3,<pip>,0.17.1,np19py27_0,no
pandas,0.20.3,<pip>,0.19.2,<pip>,no
pandas,0.20.3,<pip>,0.19.2,np111py27_1,no
pandas,0.20.3,<pip>,0.20.2,<pip>,no
pandas,0.20.3,<pip>,0.20.3,<pip>,yes
pandas,0.20.3,py27_0,0.17.1,np19py27_0,no
pandas,0.20.3,py27_0,0.19.2,<pip>,no
pandas,0.20.3,py27_0,0.19.2,np111py27_1,no
pandas,0.20.3,py27_0,0.20.2,<pip>,no
pandas,0.20.3,py27_0,0.20.3,<pip>,yes
pandasql,0.7.3,<pip>,0.7.3,<pip>,yes
partd,0.3.7,py27_0,0.3.7,py27_0,yes
partd,0.3.7,py27_0,0.3.8,<pip>,no
patchelf,0.9,0,0.9,0,yes
patchelf,0.9,0,0.9,1,yes
path.py,10.0,py27_0,10.0,py27_0,yes
path.py,10.0,py27_0,8.2.1,py27_0,no
pathlib2,2.2.0,py27_0,2.2.0,py27_0,yes
pathlib2,2.2.0,py27_0,2.2.1,py27_0,no
patsy,0.4.1,py27_0,0.4.1,py27_0,yes
pbr,3.0.1,<pip>,1.9.1,<pip>,no
pbr,3.0.1,<pip>,2.0.0,py27_0,no
pcre,8.39,1,8.39,0,yes
pcre,8.39,1,8.39,1,yes
pep8,1.7.0,py27_0,1.7.0,py27_0,yes
pexpect,4.2.1,py27_0,4.2.1,py27_0,yes
pickleshare,0.7.4,py27_0,0.7.3,py27_0,no
